leg_exp,site,samples,core_comp_photo,core_closeup_img
18,179,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=18&site=179,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=18&site=179,not available
18,180,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=18&site=180,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=18&site=180,not available
18,181,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=18&site=181,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=18&site=181,not available
18,182,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=18&site=182,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=18&site=182,not available
19,183,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=183,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=183,not available
19,184,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=184,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=184,not available
19,185,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=185,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=185,not available
19,186,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=186,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=186,not available
19,187,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=187,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=187,not available
19,188,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=188,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=188,not available
19,189,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=189,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=189,not available
19,190,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=190,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=190,not available
19,191,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=191,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=191,not available
19,192,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=192,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=192,not available
19,193,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=19&site=193,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=19&site=193,not available
2,10,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=2&site=10,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=2&site=10,not available
2,11,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=2&site=11,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=2&site=11,not available
2,12,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=2&site=12,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=2&site=12,not available
2,8,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=2&site=8,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=2&site=8,not available
2,9,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=2&site=9,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=2&site=9,not available
20,194,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=194,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=194,not available
20,195,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=195,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=195,not available
20,196,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=196,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=196,not available
20,197,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=197,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=197,not available
20,198,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=198,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=198,not available
20,199,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=199,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=199,not available
20,200,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=200,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=200,not available
20,202,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=20&site=202,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=20&site=202,not available
21,203,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=203,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=203,not available
21,204,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=204,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=204,not available
21,205,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=205,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=205,not available
21,206,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=206,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=206,not available
21,207,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=207,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=207,not available
21,208,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=208,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=208,not available
21,209,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=209,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=209,not available
21,210,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=21&site=210,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=21&site=210,not available
22,211,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=22&site=211,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=22&site=211,not available
