leg_exp,site,samples,core_comp_photo,core_closeup_img,ts_img
187,1157,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1157,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1157,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1157,no data available
187,1158,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1158,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1158,no data available,no data available
187,1159,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1159,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1159,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1159,no data available
187,1160,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1160,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1160,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1160,no data available
187,1161,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1161,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1161,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1161,no data available
187,1162,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1162,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1162,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1162,no data available
187,1163,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1163,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1163,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=187&site=1163,no data available
187,1164,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=187&site=1164,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=187&site=1164,no data available,no data available
188,1165,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=188&site=1165,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=188&site=1165,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=188&site=1165,no data available
188,1166,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=188&site=1166,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=188&site=1166,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=188&site=1166,no data available
188,1167,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=188&site=1167,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=188&site=1167,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=188&site=1167,no data available
189,1168,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=189&site=1168,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=189&site=1168,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=189&site=1168,no data available
189,1169,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=189&site=1169,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=189&site=1169,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=189&site=1169,no data available
189,1170,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=189&site=1170,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=189&site=1170,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=189&site=1170,no data available
189,1171,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=189&site=1171,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=189&site=1171,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=189&site=1171,no data available
189,1172,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=189&site=1172,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=189&site=1172,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=189&site=1172,no data available
190,1173,https://web.iodp.tamu.edu/janusweb/sample/sample.cgi?leg=190&site=1173,https://web.iodp.tamu.edu/janusweb/imaging/photo.cgi?leg=190&site=1173,https://web.iodp.tamu.edu/janusweb/imaging/closeup.cgi?reporttype=I&leg=190&site=1173,no data available
