Leg,Site,Hole,Latitude,Longitude,Latitude (decimal degrees),Longitude (decimal degrees),Water Depth (mbsl),Number of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment
167,1011,A,31° 16.824'N,117° 37.980'W,31.2804,-117.633,2021.6,1,9.5,9.8,103.6,0,11.4,
167,1011,B,31° 16.818'N,117° 37.980'W,31.2803,-117.633,2021.6,31,281.5,271,96.3,0,281.5,
167,1011,C,31° 16.818'N,117° 37.980'W,31.2803,-117.633,2022.3,20,184.3,190,103.1,0,184.3,
167,1011,D,31° 16.818'N,117° 37.980'W,31.2803,-117.633,2020.2,2,16.9,17.2,102,0,16.9,
167,1011,E,31° 16.824'N,117° 30.960'W,31.2804,-117.516,2019.9,16,142.3,148.5,104.4,0,142.3,
167,1012,A,32° 16.968'N,118° 22.980'W,32.2828,-118.383,1773.3,30,273.5,269.7,98.6,0,273.5,
167,1012,B,32° 16.956'N,118° 22.980'W,32.2826,-118.383,1771.7,14,132.3,131.3,99.2,0,132.3,
167,1012,C,32° 16.968'N,118° 23.040'W,32.2828,-118.384,1771.9,9,82.6,86.9,105.2,0,82.6,
167,1013,A,32° 48.042'N,118° 53.880'W,32.8007,-118.898,1564.4,16,146.1,137.1,93.8,0,146.1,
167,1013,B,32° 48.060'N,118° 53.880'W,32.801,-118.898,1563.4,11,103.8,108,104,0,103.8,
167,1013,C,32° 48.060'N,118° 53.880'W,32.801,-118.898,1564.8,8,72.2,74,102.4,0,72.2,
167,1014,A,32° 49.992'N,119° 58.860'W,32.8332,-119.981,1164.8,50,449,404.4,90.1,0,449,
167,1014,B,32° 50.046'N,119° 58.860'W,32.8341,-119.981,1166.7,27,245,224.7,91.7,0,245,
167,1014,C,32° 50.046'N,119° 58.860'W,32.8341,-119.981,1165.4,2,19,19.5,102.8,0,19,
167,1014,D,32° 50.046'N,119° 58.860'W,32.8341,-119.981,1166,13,120.9,119,98.4,0,120.9,
167,1015,A,33° 42.924'N,118° 49.140'W,33.7154,-118.819,900.8,16,149.5,139.1,93.1,0,149.5,
167,1015,B,33° 42.924'N,118° 49.080'W,33.7154,-118.818,901.5,12,97.8,81.3,83.1,0,97.8,
167,1016,A,34° 32.418'N,122° 16.560'W,34.5403,-122.276,3834.3,36,316.5,303.6,95.9,0,316.5,
167,1016,B,34° 32.316'N,122° 16.560'W,34.5386,-122.276,3836.6,23,210.8,218.1,103.5,0,210.8,
167,1016,C,34° 32.292'N,122° 16.560'W,34.5382,-122.276,3835.2,2,18.7,18.8,100.3,0,18.7,
167,1016,D,34° 32.304'N,122° 16.560'W,34.5384,-122.276,3834.4,16,150.5,154.2,102.4,0,150.5,
167,1017,A,34° 32.088'N,121°  6.420'W,34.5348,-121.107,955.6,1,9.8,9.9,100.6,0,9.8,
167,1017,B,34° 32.094'N,121°  6.360'W,34.5349,-121.106,955.1,23,204.2,188.7,92.4,0,204.2,
167,1017,C,34° 32.094'N,121°  6.420'W,34.5349,-121.107,956.1,19,174.3,169.4,97.2,0,174.3,
167,1017,D,34° 32.088'N,121°  6.420'W,34.5348,-121.107,955.3,12,107.9,85,78.8,0,107.9,
167,1017,E,34° 32.100'N,121°  6.420'W,34.535,-121.107,955.5,3,24.9,25.7,103.3,0,24.9,
167,1018,A,36° 59.298'N,123° 16.620'W,36.9883,-123.277,2477.4,45,426.2,426.9,100.2,0,426.2,
167,1018,B,36° 59.382'N,123° 16.500'W,36.9897,-123.275,2475.6,2,19.2,19.5,101.3,0,19.2,
167,1018,C,36° 59.388'N,123° 16.500'W,36.9898,-123.275,2476.8,28,262.2,261.4,99.7,0,262.2,
167,1018,D,36° 59.394'N,123° 16.500'W,36.9899,-123.275,2476,18,167.7,167.4,99.8,0,167.7,
167,1019,A,41° 40.968'N,124° 55.980'W,41.6828,-124.933,980.1,1,10.1,10.1,100.1,0,10.1,
167,1019,B,41° 40.974'N,124° 55.980'W,41.6829,-124.933,984.1,1,10.1,10.1,99.8,0,10.1,
167,1019,C,41° 40.974'N,124° 55.920'W,41.6829,-124.932,976.9,26,247.8,214,86.3,0,247.8,
167,1019,D,41° 40.968'N,124° 55.980'W,41.6828,-124.933,977.6,24,223.8,183,81.8,0,223.8,
167,1019,E,41° 40.962'N,124° 55.980'W,41.6827,-124.933,978.2,12,109.5,112.2,102.4,0,109.5,
167,1020,A,41°  0.540'N,126° 26.040'W,41.009,-126.434,3041.6,1,10,10,100.2,0,10,
167,1020,B,41°  0.540'N,126° 26.040'W,41.009,-126.434,3038.8,30,278.8,265,95.1,0,278.8,
167,1020,C,41°  0.480'N,126° 26.040'W,41.008,-126.434,3037.9,25,233.2,239.5,102.7,0,233.2,
167,1020,D,41°  0.480'N,126° 26.040'W,41.008,-126.434,3037.8,17,156.2,163.7,104.8,0,156.2,
167,1021,A,39°  5.250'N,127° 46.980'W,39.0875,-127.783,4215,1,9.5,9.9,103.8,0,9.5,
