"Title","Keywords","Creator","Notes","Duration","Special","YouTube.Link","YouTube.Channel","Exp.or.Group"
"JR Live!","Interviews/Career Paths","Lisa Strong",NA,"00:02:07",NA,"https://www.youtube.com/watch?v=5M-GM_4jmNY","OceanLeadership","Educators"
"JR Live!","Derrick","Lisa Strong",NA,"00:02:07",NA,"https://www.youtube.com/watch?v=5M-GM_4jmNY","OceanLeadership","Educators"
"JR Profiles Episode 1 Kevin Grigar","Interviews/Career Paths",NA,NA,"00:04:14",NA,"https://www.youtube.com/watch?v=aZBc0DxDKok","The JOIDES Resolution","372"
"JR Profiles Episode 10 Susan Boehm, Marine Technician","Interviews/Career Paths",NA,NA,"00:06:01",NA,"https://www.youtube.com/watch?v=RXoD4VmFRoY","The JOIDES Resolution","372"
"JR Profiles Episode 12 Bubba Attryde, Toolpusher_Coring Technician","Interviews/Career Paths",NA,NA,"00:02:52",NA,"https://www.youtube.com/watch?v=9iPtbh2m2jk","The JOIDES Resolution","372"
"JR Profiles Episode 15 Katja Heeschen, Geochemist","Science",NA,NA,"00:04:10",NA,"https://www.youtube.com/watch?v=oE95shIG3Y0","The JOIDES Resolution","372"
"JR Profiles Episode 15 Katja Heeschen, Geochemist","Interviews/Career Paths",NA,NA,"00:04:10",NA,"https://www.youtube.com/watch?v=oE95shIG3Y0","The JOIDES Resolution","372"
"JR Profiles Episode 15 Katja Heeschen, Geochemist","Ocean",NA,NA,"00:04:10",NA,"https://www.youtube.com/watch?v=oE95shIG3Y0","The JOIDES Resolution","372"
"JR Profiles Episode 16 Leah LeVay, Expedition Project Manager","Science",NA,NA,"00:04:25",NA,"https://www.youtube.com/watch?v=0sBGpBlYwII","The JOIDES Resolution","372"
"JR Profiles Episode 16 Leah LeVay, Expedition Project Manager","Ocean",NA,NA,"00:04:25",NA,"https://www.youtube.com/watch?v=0sBGpBlYwII","The JOIDES Resolution","372"
"JR Profiles Episode 16 Leah LeVay, Expedition Project Manager","Interviews/Career Paths",NA,NA,"00:04:25",NA,"https://www.youtube.com/watch?v=0sBGpBlYwII","The JOIDES Resolution","372"
"JR Profiles Episode 2 Lisa Crowder","Ocean",NA,NA,"00:08:40",NA,"https://www.youtube.com/watch?v=A11DkiIgNv4","The JOIDES Resolution","372"
"JR Profiles Episode 2 Lisa Crowder","Interviews/Career Paths",NA,NA,"00:08:40",NA,"https://www.youtube.com/watch?v=A11DkiIgNv4","The JOIDES Resolution","372"
"JR Profiles Episode 3 Minh Huynh","Interviews/Career Paths",NA,NA,"00:04:05",NA,"https://www.youtube.com/watch?v=jFdYLvjE3mM","The JOIDES Resolution","372"
"JR Profiles Episode 4 Glenn Barrett, Driller","Ocean",NA,NA,"00:02:39",NA,"https://www.youtube.com/watch?v=CNqqyy4PvHI","The JOIDES Resolution","372"
"JR Profiles Episode 4 Glenn Barrett, Driller","Interviews/Career Paths",NA,NA,"00:02:39",NA,"https://www.youtube.com/watch?v=CNqqyy4PvHI","The JOIDES Resolution","372"
"JR Profiles Episode 5 Joshu Mountjoy, Marine Geologist","Ocean",NA,NA,"00:03:03",NA,"https://www.youtube.com/watch?v=9zv91KhXe24","The JOIDES Resolution","372"
